letter,name,short
A,ARP,CYCLE ROOT +X +Y
B,BANK,WAV VOICE TO BANK Y
C,CHORD,FAN ROOT +X +Y
D,DELAY,TRIGGER AT XY TICKS
E,ECHO,SEND ON=01 OFF=00
F,FINE,FINE TUNE SIGNED XY
G,GROOVE,SET PAIR X/Y TICKS
H,HOP,NEXT ENTRY ROW XY
I,MASK,PLAY ON PASS MASK XY
J,PASS,ADD TSP XY EACH PASS
K,KILL,NOTE OFF AT XY TICKS
L,SLIDE,GLIDE OVER XY TICKS
M,MASTER,MASTER VOLUME XY
N,NOISE,GLOBAL NOISE RATE XY
P,PAN,SIGNED BALANCE XY
Q,GAIN,GAIN MODE X RATE Y
R,RETRIG,REPEAT EVERY Y TICKS
S,SWEEP,PITCH SWEEP +/- XY
T,TEMPO,TICK BPM XY HEX
U,SURR,INVERT PHASE L=X R=Y
V,VIB,VIB SPEED X DEPTH Y
X,VOL,LEVEL XY / ACCENT
Y,FIR,RECALL FIR PRESET Y
Z,PMOD,PMOD BY LEFT VOICE
